id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
S;SUL;2022-01-05 19:00:00;14113.64800000
SE;SUDESTE;2022-01-05 19:00:00;47983.06400000
N;NORTE;2022-01-05 20:00:00;6409.64500000
NE;NORDESTE;2022-01-05 20:00:00;12360.66700000
S;SUL;2022-01-05 20:00:00;14391.49300000
SE;SUDESTE;2022-01-05 20:00:00;47702.52600000
N;NORTE;2022-01-05 21:00:00;6526.08800000
NE;NORDESTE;2022-01-05 21:00:00;12847.34999999
S;SUL;2022-01-05 21:00:00;14279.48700000
SE;SUDESTE;2022-01-05 21:00:00;46673.34800000
N;NORTE;2022-01-05 22:00:00;6623.83800000
NE;NORDESTE;2022-01-05 22:00:00;12904.73900000
S;SUL;2022-01-05 22:00:00;13945.18000000
SE;SUDESTE;2022-01-05 22:00:00;44738.15100000
N;NORTE;2022-01-05 23:00:00;6588.75500000
NE;NORDESTE;2022-01-05 23:00:00;12563.53599999
S;SUL;2022-01-05 23:00:00;13181.24700000
SE;SUDESTE;2022-01-05 23:00:00;42297.06900000
N;NORTE;2022-01-06 00:00:00;6498.11899999
NE;NORDESTE;2022-01-06 00:00:00;12124.63800000
S;SUL;2022-01-06 00:00:00;12412.29900000
SE;SUDESTE;2022-01-06 00:00:00;39839.95899999
N;NORTE;2022-01-06 01:00:00;6348.97800000
NE;NORDESTE;2022-01-06 01:00:00;11778.83500000
S;SUL;2022-01-06 01:00:00;11774.74600000
